ID,LANGUAGE,LEVEL
1,Kazakh,Advanced
1,Lao,Basic
2,Assamese,Basic
2,Papiamento,Expert
2,Telugu,Basic
3,Swati,Expert
4,Chinese,Advanced
4,Mongolian,Basic
5,Filipino,Basic
5,Kazakh,Basic
6,Northern Sotho,Basic
6,Tswana,Expert
6,Georgian,Advanced
7,Korean,Basic
8,Kazakh,Expert
9,Haitian Creole,Advanced
9,Quechua,Basic
9,Thai,Expert
10,Oriya,Basic
10,Luxembourgish,Basic
10,Dzongkha,Expert
11,Swedish,Advanced
11,Bislama,Advanced
12,Hindi,Basic
12,Portuguese,Advanced
12,Luxembourgish,Expert
13,Finnish,Basic
13,Swati,Basic
14,Swahili,Expert
14,Persian,Basic
15,Pashto,Basic
15,Dari,Expert
16,Georgian,Advanced
16,Swati,Expert
17,Tetum,Advanced
17,Somali,Basic
18,Dzongkha,Advanced
18,Northern Sotho,Expert
19,Arabic,Expert
19,Telugu,Advanced
19,Italian,Expert
20,Belarusian,Basic
20,Romanian,Advanced
21,Azeri,Expert
21,Quechua,Expert
22,Portuguese,Basic
23,Bengali,Advanced
24,Georgian,Advanced
24,Dhivehi,Expert
24,Quechua,Expert
25,Latvian,Advanced
25,Tswana,Advanced
25,Punjabi,Advanced
26,Hiri Motu,Advanced
26,Czech,Expert
27,Luxembourgish,Basic
27,Danish,Advanced
27,Kyrgyz,Basic
28,Nepali,Basic
29,Estonian,Expert
30,Dutch,Expert
31,Mongolian,Expert
32,Persian,Basic
32,Swahili,Basic
33,Tajik,Expert
34,Amharic,Expert
35,Luxembourgish,Basic
35,Pashto,Basic
36,Kazakh,Expert
37,Swahili,Basic
37,Moldovan,Advanced
37,Oriya,Expert
38,Punjabi,Basic
38,Quechua,Expert
38,Aymara,Advanced
39,Sotho,Basic
39,Dutch,Expert
40,Filipino,Basic
41,Bislama,Expert
41,Burmese,Advanced
41,Somali,Advanced
42,Portuguese,Expert
43,Kazakh,Expert
44,Tamil,Expert
44,Khmer,Basic
44,Tamil,Basic
45,Khmer,Expert
46,Telugu,Basic
47,Fijian,Basic
47,Thai,Basic
47,Tok Pisin,Basic
48,Gagauz,Advanced
49,English,Expert
49,Assamese,Expert
50,Zulu,Basic
51,Dari,Basic
52,Nepali,Advanced
52,Thai,Expert
53,Haitian Creole,Advanced
53,Swedish,Basic
53,Ndebele,Expert
54,Polish,Expert
54,Chinese,Expert
55,Dari,Advanced
55,Punjabi,Expert
